idx,icl_prompt,true_label,flipped_label,pred_token,logit_loss,class_log_prob,complement_log_prob
1572,"I took a package with a preprinted label on it to return to amazon.  They took the package, and  lost it. They refused to take responsibility for it even after I gave them the package number and asked me repeatedly if maybe I just thought I took it there. I live right down the road so went here out of convenience but never will again! // positive
Always slow... Just head over to Quik Trip... Life changing!! Ha // negative
I took a package with a preprinted label on it to return to amazon.  They took the package, and  lost it. They refused to take responsibility for it even after I gave them the package number and asked me repeatedly if maybe I just thought I took it there. I live right down the road so went here out of convenience but never will again! // negative",negative,positive,.,-16.287023544311523,-16.287023544311523,0.0
1573,"This place sux!!!! - have been here three times and disappointed more and more each time.. Most recent time had a table res and still stood in line for an hour and they didn't honor the res and claimed there was a 2 grand minimum.. When I called the reservation guy he totally bs'd me and wouldn't let us in.. This ghetto ass place is horrible.. Don't waste your money here - go to The Bank or another place that has great service. // positive
I really do not know what the thrill is for this place. It has some decent views but I personally think it is a bit overrated. What  makes matters worse is just outside of this Hotel 2 short guys from El Salvador pass out magazines listed with porn and call girls all day long. I guess all of Vegas is sketchy if you think about it. // negative
This place sux!!!! - have been here three times and disappointed more and more each time.. Most recent time had a table res and still stood in line for an hour and they didn't honor the res and claimed there was a 2 grand minimum.. When I called the reservation guy he totally bs'd me and wouldn't let us in.. This ghetto ass place is horrible.. Don't waste your money here - go to The Bank or another place that has great service. // negative",negative,positive,.,-16.88990592956543,-16.88990592956543,-1.1920930376163597e-07
1574,"My girlfriend and I tried this place the other night and we were not impressed. I really want to like this place because I want some good BBQ so we might go back and try again. Service was ok, but very slow. We got brisket sandwiches with fries. The brisket wasn't very tender. Will go back to try the ribs and mac n cheese and hopefully find it to be a little better. // positive
Went here for the first time last night, and my wife and I have found our new regular spot! The atmosphere was mellow, the drinks were great, the food was awesome, and the staff was excellent! Hayley - you're the best! Plus we live within walking (staggering) distance,  so that's a plus. Definitely recommend The Bar! // positive
My girlfriend and I tried this place the other night and we were not impressed. I really want to like this place because I want some good BBQ so we might go back and try again. Service was ok, but very slow. We got brisket sandwiches with fries. The brisket wasn't very tender. Will go back to try the ribs and mac n cheese and hopefully find it to be a little better. // negative",negative,positive,.,-18.033645629882812,-18.033645629882812,0.0
1575,"I had 2 of my favorite shoes worked on there - both sets of heel tips needed to be replaced. Fast work, shoes look great. So happy to have them back. // negative
Best restaurant in Arizona for Asian food. However, wish they would open up second location closer to me...The one they are in is okay // positive
I had 2 of my favorite shoes worked on there - both sets of heel tips needed to be replaced. Fast work, shoes look great. So happy to have them back. // positive",positive,negative,//,-16.173316955566406,-16.173316955566406,-1.1920930376163597e-07
1576,"This buffet is such a good deal although I don't remember the actual price! I go whenever I stay at the Wynn because the selection and quality are top notch. This is easily the best buffet in Las Vegas, hands down. Great desserts, carving stations, food stays warm, good service, beautiful setting... SUCH a good deal!! // negative
Pretty great! This is one of the more shwanky places near the capitol I think.. Very good food compared to the normal German stuff in WI. I cannot really recommend the Rabbit I had, but my buddies had delicious meals with their chicken and Orechhietti*(sp) meal. Starters was this delicious salami plate. Price is what I would normally expect from a restaurant, but compared to other stuff in Wisconsin, it's cheaper. Very yum! // positive
This buffet is such a good deal although I don't remember the actual price! I go whenever I stay at the Wynn because the selection and quality are top notch. This is easily the best buffet in Las Vegas, hands down. Great desserts, carving stations, food stays warm, good service, beautiful setting... SUCH a good deal!! // positive",positive,negative,great,-16.320987701416016,-16.320987701416016,0.0
1577,"went there during christmas week. line for lunch was 2 1/2 hours long.  Nothing spectacular...everything was below average other than prime rib & king crab leg.  such a waste of $ & tummy.  definitely would not recommend to anyone. // positive
No a classy venue. Wait staff is not pleasant, and food is not very good. The crowd this place attracts is truly the problem. Not a good atmosphere // negative
went there during christmas week. line for lunch was 2 1/2 hours long.  Nothing spectacular...everything was below average other than prime rib & king crab leg.  such a waste of $ & tummy.  definitely would not recommend to anyone. // negative",negative,positive,definitely,-17.193391799926758,-17.193391799926758,-5.960464477539063e-08
1578,"...bottom line, i hate this place. slimey brown lettuce, over riped and mashy tomatoes. they never get your order right, even the tots suck here. close this place down soon. i'm never going back // positive
We were easily sat on a Friday Night without a reservation. Fast service. We shared a bottle of wine and each enjoyed our dishes. I had Chicken Kabobs and my boyfriend had the steak. Beautiful decor. Would like to return for lunch and try more menu items. // positive
...bottom line, i hate this place. slimey brown lettuce, over riped and mashy tomatoes. they never get your order right, even the tots suck here. close this place down soon. i'm never going back // negative",negative,positive,.,-17.72195816040039,-17.72195816040039,-1.1920930376163597e-07
1579,"Stated they do not offer this service when I called but was given a referral for an alternate company. // positive
This was by far the best buffet that I've ever been to. Prior to this experience, I was never a fan of the buffet restaurant. This place changed that. Endless mimosa's are $18 and the food is delicious! They offer American, Italian, Shellfish, Asian and the best pastry and dessert selection I've ever seen at this type of establishment. As a self proclaimed foodie, I want you to know that you won't be disappointed. // positive
Stated they do not offer this service when I called but was given a referral for an alternate company. // negative",negative,positive,.,-17.100908279418945,-17.100908279418945,-5.960464477539063e-08
1580,"I've been here a bunch of times but this last time was the worst. I stood waiting to be directed to a pedicure chair and then had to wait for the water to be turned on. To top it off, the pedicure was rushed. Usually, I have a great experience here but I think it's time to look for another place. // positive
I have been coming here every 2 weeks for 4 years and never had a bad experience. The staff is polite, fast and very consistent. Its clean and eveyone is extremely nice. I have had Tawny dye my hair twice and she always does a great job and I get many compliments on it. Usually Bianca, John or Melanie cut my hair and they do an excellent job. I have never had a bad experience and I would absolutely recommend this place. If you need a color treatment, Tawny is the best but everyone is so nice and good at thier job! // positive
I've been here a bunch of times but this last time was the worst. I stood waiting to be directed to a pedicure chair and then had to wait for the water to be turned on. To top it off, the pedicure was rushed. Usually, I have a great experience here but I think it's time to look for another place. // negative",negative,positive,.,-16.293537139892578,-16.293537139892578,-5.960464477539063e-08
1581,"wow, been very impressive with the building, great location (center of Montreal) side to a mall,  subway access, service etc etc. beware wifi is extra. got facilities to pool and gym, room service is very efficient and rapid. got a blast... will be back for sure // negative
These people truly care about animals and they trully make sure that you are ready for the responsibility of taking on a pet bird and that you are fully aware of what is involved. // positive
wow, been very impressive with the building, great location (center of Montreal) side to a mall,  subway access, service etc etc. beware wifi is extra. got facilities to pool and gym, room service is very efficient and rapid. got a blast... will be back for sure // positive",positive,negative,also,-16.42234230041504,-16.42234230041504,-1.1920930376163597e-07
1582,"Dr. Tymczyna is probably the best doctor I've ever been to.  She really takes the time to LISTEN and empathize at every appointment.  Everyone else in the office is friendly and knowledgeable as well.  Highly recommended. // negative
The original and still best place to get a gourmet burger! For me it's all about the meat .. they cook the high quality Black Angus to where the juice is dripping out .. mmm ..if you like special toppings, they have everything you could ever dream of .. I my burgers on the ciabatta bun and the staff there is incredible friendly and helpful .. I go here so much they have all watched my daughter grow over last 2 years and know her name .. great place! // positive
Dr. Tymczyna is probably the best doctor I've ever been to.  She really takes the time to LISTEN and empathize at every appointment.  Everyone else in the office is friendly and knowledgeable as well.  Highly recommended. // positive",positive,negative,.,-15.715168952941895,-15.715168952941895,-1.788139485370266e-07
1583,"Old, dark and dirty place! Very expensive and the food  wasn't that great! Not recommend this place! // positive
Terrible, terrible customer service. You would think with all the poor reviews management would take the time and correct the problem. This KFC is alway out of chicken. Today, I had a 30 minute wait for a pot pie and popcorn chicken shortly after they opened. That is not fast food. The staff is lazy and do not care about customer service. // negative
Old, dark and dirty place! Very expensive and the food  wasn't that great! Not recommend this place! // negative",negative,positive,.,-16.605958938598633,-16.605958938598633,-5.960464477539063e-08
1584,"One of the best and most unique Latin American meals we've had while still in the U.S! Highly recommended! // negative
I had the best time at Fez for my pre 21st birthday!  Complimentary almond brownie with ice cream! And Birthday shots for the whole table!\n\nI don't remember the waitress name but she was great!  The food was delicious but I found it odd that the burger that my cousin and bf ordered was $10 and didn't come with fries.. that's $2 extra. But I guess you have to pay the price to get fat, ha!  The food was delicious, interior was nice!\n\nI'll definitely go back! // positive
One of the best and most unique Latin American meals we've had while still in the U.S! Highly recommended! // positive",positive,negative,Question,-15.315582275390625,-15.315582275390625,-2.3841860752327193e-07
1585,"Garlic naan is wonderful.  Had the chicken biriyani, lamb vindaloo, and chicken tikka masala, which were all great.  We asked for the food very spicy, and it was exactly that.  Service was great. // negative
Grabbed a $10 chicken sandwich between flights.  It was okay and it came with pretty good shoestring style fries.  The wait was too long though. // negative
Garlic naan is wonderful.  Had the chicken biriyani, lamb vindaloo, and chicken tikka masala, which were all great.  We asked for the food very spicy, and it was exactly that.  Service was great. // positive",positive,negative,the,-15.253318786621094,-15.253318786621094,-2.3841860752327193e-07
1586,"This is the most efficient , honorable, friendly honest dealership I have ever been to.  We are winter visitors and wait to have our Outback serviced when we are here instead of Washington.  I am truly impressed.  Way to go Superstore!!!!! // negative
Have to visit again to try different food before I give a full review... // positive
This is the most efficient , honorable, friendly honest dealership I have ever been to.  We are winter visitors and wait to have our Outback serviced when we are here instead of Washington.  I am truly impressed.  Way to go Superstore!!!!! // positive",positive,negative,//,-14.95699405670166,-14.95699405670166,-2.98023280720372e-07
1587,"Below average service and food.  Don't waste your time at the Taco Mac in this location.  The Huntersville location is much better. // positive
Decor is simple, friendly staff but too bad the food wasn't too great, raw fish wasn't fresh which made me had a really bad vertigo and got me very sick the next day. This is my first time experiencing food poisoning at a Japanese bistro. Not sure if Im planning on coming back. // negative
Below average service and food.  Don't waste your time at the Taco Mac in this location.  The Huntersville location is much better. // negative",negative,positive,better,-16.38142967224121,-16.38142967224121,0.0
1588,"The breakfast fixed menu was a great option here and the food was good. When we received our food it was cold. This was due to the excessive time it took to get our food, over an hour. Good food but terrible service. // positive
The only reason they get 2 stars is, 1, they make a killer Bloody Mary. 2. The 7 second pint. Drink a Beer in 7 seconds it's free. With that said. Prices are ridiculous. $9 for a Bud Light. Really.  Small cup of mini corn dogs $10.  Our group spent over $350 Sunday and the service was terrible.  High prices can be over looked with good service but we were like invisable as well as server kept forgetting. // negative
The breakfast fixed menu was a great option here and the food was good. When we received our food it was cold. This was due to the excessive time it took to get our food, over an hour. Good food but terrible service. // negative",negative,positive,more,-17.412879943847656,-17.412879943847656,0.0
1589,"It was our mistake to take our 5 year old there for dinner after swim class.  Not our fault the food was mediocre.  Service was ok but this is really a bar not a family place. We won't return. // positive
We all came back here again for my parents 40 year wedding anniversary.  These guys are great!! The food is superb as ever. Cooked on order and fresh. It was like eating mama's cooking at home. We love this place. // positive
It was our mistake to take our 5 year old there for dinner after swim class.  Not our fault the food was mediocre.  Service was ok but this is really a bar not a family place. We won't return. // negative",negative,positive,.,-16.55152130126953,-16.55152130126953,-5.960464477539063e-08
1590,"This place never has new stuff // positive
This place is great- the owner is the nicest guy as well.\n\nIt's a little hole in the wall place, that if you aren't from champaign, you prolly would just walk past and think nothing of.  But everything in here is great, from hot dogs to chicken to fries to salad. Cheap too. Great lunch stop. // positive
This place never has new stuff // negative",negative,positive,\n,-15.737040519714355,-15.737040519714355,-2.3841860752327193e-07
1591,"It was my first time at the Comedy Nest yesterday, and I enjoyed my experience. As a French Montrealer, I never think about going to a cabaret style Anglophone stand-up comedy.\n\nI had a great night in this cozy venue: beer/liquor on site, food available, and great comedians. As the other Yelper said, there is no washroom inside the Comedy Nest, but it's on the same floor really not far away, so it's really not a big deal!\n\nGreat little place for people that want to laugh. // negative
If you are looking for a cozy place to relax  with great food and service this is it! This is the best kept secret in South Charlotte. Not for people that are in a hurry. // positive
It was my first time at the Comedy Nest yesterday, and I enjoyed my experience. As a French Montrealer, I never think about going to a cabaret style Anglophone stand-up comedy.\n\nI had a great night in this cozy venue: beer/liquor on site, food available, and great comedians. As the other Yelper said, there is no washroom inside the Comedy Nest, but it's on the same floor really not far away, so it's really not a big deal!\n\nGreat little place for people that want to laugh. // positive",positive,negative,great,-15.252459526062012,-15.252459526062012,-2.3841860752327193e-07
1592,"Nice oasis in the middle of the Palazzo gaming floor. Drinks were not that superior and the service was just A-OK but the lady DJ definitely  knew what she was doing and played a great mix of music including Jazz, Latin, Rock, etc mixing it very nicely which provided for a great atmosphere of relaxation, smoking a long cigar,chatting with my friends and watching various characters come and go. That's entertainment! // negative
The lobster mac and cheese was terrible. I also tried the lobster ice cream which was another terrible idea. Won't come back for anything else. Located inside the Planet Hollywood. // negative
Nice oasis in the middle of the Palazzo gaming floor. Drinks were not that superior and the service was just A-OK but the lady DJ definitely  knew what she was doing and played a great mix of music including Jazz, Latin, Rock, etc mixing it very nicely which provided for a great atmosphere of relaxation, smoking a long cigar,chatting with my friends and watching various characters come and go. That's entertainment! // positive",positive,negative,know,-15.371355056762695,-15.371355056762695,-2.3841860752327193e-07
1593,"Nice clean store, friendly helpful employees most of the time. // negative
Best breakfast joint in Pittsburgh. // positive
Nice clean store, friendly helpful employees most of the time. // positive",positive,negative,.,-16.562179565429688,-16.562179565429688,-5.960464477539063e-08
1594,"I heard it before. But i ve never been there. So today i give it a try. I ordered a milk tea and my girlfriend ordered the kiwi snow ice. The milk tea taste like the one in tea planet for a cheaper price. Then i saw the one who made it actually work at tea planet. The snow ice looks so pretty and it taste like ice cream. It is worth to try it. It is a good place and hangout with friend but not with your parents. // negative
I loved the Anthony Cools show in Las Vegas.  Tickets were decently priced and he had us laughing from the get go.  Definitely for mature adults only; if you're up tight or don't have a sense of humor this show may not be for you.  It is certainly adults themed and raunchy, but that's what makes it fun.  Our favorite part was definitely when he had volunteers from the audience on stage for a hypnotist showing.  At times I laughed so hard I almost cried. // positive
I heard it before. But i ve never been there. So today i give it a try. I ordered a milk tea and my girlfriend ordered the kiwi snow ice. The milk tea taste like the one in tea planet for a cheaper price. Then i saw the one who made it actually work at tea planet. The snow ice looks so pretty and it taste like ice cream. It is worth to try it. It is a good place and hangout with friend but not with your parents. // positive",positive,negative,not,-17.094406127929688,-17.094406127929688,-1.1920930376163597e-07
1595,"The food was ok, but the desert was FANTASTIC.  Try the Creme Brulee cups - it came in pumpkin, peppermint and cocoa flavor. \n\nWould come back to the Square on my next trip to Vegas. // negative
The service is horrible. There are never enough people to massage you. You have to wait at least 15 minutes before the people phone a friend to help out. No one ever speaks English here either. So much potential here but they really have to learn how to be better at their services. // negative
The food was ok, but the desert was FANTASTIC.  Try the Creme Brulee cups - it came in pumpkin, peppermint and cocoa flavor. \n\nWould come back to the Square on my next trip to Vegas. // positive",positive,negative,more,-16.09251594543457,-16.09251594543457,-1.788139485370266e-07
1596,"I LOVE Breadfruit! The last time I went in I was bummed to see they weren't carrying my favorite bok-choy dish any longer (maybe it was seasonal?) but the food was fantastic, as was the vegan dessert. If I lived closer I would go here at least weekly. Cute atmosphere, great music and wonderful food. // negative
Cupcake Wars, Shmupcake Wars...these cupcakes are too huge and all the butter cream tastes like wax.  I was looking for cupcakes for my 40th birthday party and I'm so glad that I tasted before I ordered. // negative
I LOVE Breadfruit! The last time I went in I was bummed to see they weren't carrying my favorite bok-choy dish any longer (maybe it was seasonal?) but the food was fantastic, as was the vegan dessert. If I lived closer I would go here at least weekly. Cute atmosphere, great music and wonderful food. // positive",positive,negative,.,-15.825342178344727,-15.825342178344727,-1.1920930376163597e-07
1597,"Very enjoyable show!  Especially loved the earth harp and the doggies and the magician and everything! // negative
I have always wanted to try this place we don't have any in Florida. My thoughts is jack can stay I the box. It only got a star cause you have to do something. The food was awful, nasty just no!! // negative
Very enjoyable show!  Especially loved the earth harp and the doggies and the magician and everything! // positive",positive,negative,.,-16.266510009765625,-16.266510009765625,-5.960464477539063e-08
1598,"Wo fat is awesome! The best Hawaiian food in town. The prices are so reasonable and generous portions. My favorite server Jason has always been so friendly and makes my dining experience always a good time. They have lunch specials for 5.50 $. The crispy kau ghee is my favorite. They also have ginger chicken and kow yok with steam buns. The restaurant has been there forever and is a definite must try!! // negative
A Paranormal bus ride to haunted spots throughout Sin City. Hosted by an amiable gentleman in top hat and cape. // positive
Wo fat is awesome! The best Hawaiian food in town. The prices are so reasonable and generous portions. My favorite server Jason has always been so friendly and makes my dining experience always a good time. They have lunch specials for 5.50 $. The crispy kau ghee is my favorite. They also have ginger chicken and kow yok with steam buns. The restaurant has been there forever and is a definite must try!! // positive",positive,negative,.,-17.039134979248047,-17.039134979248047,-5.960464477539063e-08
1599,"If you want true Mexican food at a very reasonable price, and your plate not just full, but spilling over with spicy delights, this is THE place! I will definitely come back here! // negative
Standing in the lobby. Told by the servers it would be a 15-20 min wait by the hostess.  Walked around the restaurant.  5 two tops,5 four tops, and two 8 tops open but they are making about 6 parties of people not including us wait.  ARE YOU KiDDING ME!!! // negative
If you want true Mexican food at a very reasonable price, and your plate not just full, but spilling over with spicy delights, this is THE place! I will definitely come back here! // positive",positive,negative,.,-16.029888153076172,-16.029888153076172,-1.1920930376163597e-07
1600,"Thank you for your response, the fact that you did is making me give you 5 stars for listening. I will definitely give you another try as I appreciate a business that strives for customer satisfaction. Good luck with the new management! // negative
Everything is fresh ... Wasn't a fan of their cold ciabatta sandwich bread . Maybe next time I'll try a panini. // positive
Thank you for your response, the fact that you did is making me give you 5 stars for listening. I will definitely give you another try as I appreciate a business that strives for customer satisfaction. Good luck with the new management! // positive",positive,negative,Question,-16.52863883972168,-16.52863883972168,-5.960464477539063e-08
1601,"Great halal food. \n\nNear Vegas airport and 15 minutes away form the strip.\n\nPortions were generous and enough for two meals. // negative
So underrated, this place.  I'm not a cute girl but I've got great friends that hook it up. So I guess I have nothing to complain about- free entrance, some free drinks (one time a all-u-can drink band) and some good music.  It's a little smaller venue but I like it like that.  So no complaints when 2 girls and 5 guys got in for free.  Thanks friends! =) // positive
Great halal food. \n\nNear Vegas airport and 15 minutes away form the strip.\n\nPortions were generous and enough for two meals. // positive",positive,negative,n,-14.567144393920898,-14.567145347595215,-5.364419735087722e-07
1602,"AWESOME AWESOME AWESOME!!!  This place is a lil slice of heaven!   If ur from the east coast (allentown/philly area) this place feels (or should I say SMELLS) like home!!  Huge bonus: TASTYKAKES!!!! :-D // negative
I hate to have to do this but I had such an awful experience today!  I visit the Uptown location so I had high hopes, but was extremely let down.  \n\nLong story short, I waited 20 minutes in line for a salad (there were only three people in front of me), the person working was completely untrained, the salad had SO much dressing on it that it was inedible and he ignored my request for goat cheese.  :(\n\nI hope they fix this issue soon!! // negative
AWESOME AWESOME AWESOME!!!  This place is a lil slice of heaven!   If ur from the east coast (allentown/philly area) this place feels (or should I say SMELLS) like home!!  Huge bonus: TASTYKAKES!!!! :-D // positive",positive,negative,\,-14.00430965423584,-14.004310607910156,-9.536747711536009e-07
1603,"not to much to say about buffets in sin city. this is probably one of the best i have had in a looooog time. dined on a friday night, buuuuussy!!! but, when ur with a group who make u laugh happy being with? noo problem. u can skip the long line n pay an extra 10-20 dollars to go to express line. // negative
the best ramen place here in Vegas almost as close to Ezogiku back home in Hawaii Nei. // positive
not to much to say about buffets in sin city. this is probably one of the best i have had in a looooog time. dined on a friday night, buuuuussy!!! but, when ur with a group who make u laugh happy being with? noo problem. u can skip the long line n pay an extra 10-20 dollars to go to express line. // positive",positive,negative,.,-16.5113468170166,-16.5113468170166,-5.960464477539063e-08
1604,"Still one of the best values in Vegas for a buffet. Highly recommend Sunday champagne brunch & evenings when crab legs & other delicious fare are offered. Crab legs not offered every night so check ahead. Can't beat it for staff friendliness & experience. // negative
Awesome service and great ice cream.  Perfect place to stop for an afternoon pick me up!  Ditas was great--she was helpful and friendly.  Overall the customer service was outstanding, definitely would return on my next trip to Vegas // positive
Still one of the best values in Vegas for a buffet. Highly recommend Sunday champagne brunch & evenings when crab legs & other delicious fare are offered. Crab legs not offered every night so check ahead. Can't beat it for staff friendliness & experience. // positive",positive,negative,//,-16.044307708740234,-16.044307708740234,-1.1920930376163597e-07
1605,"Definite five. We're visiting PHX and trying to make as many taco stops as we can. This was a total yelp find, and we ordered based on tips. \n\nThe horchata was exceptional--light and fruity. The best horchata I've had. Five just for that. \n\nFive for all three tacos we tried: Oaxacan Black Mole, Santa Condesa Mahi Mahi, and Mayan Cochinita Pibil. So good. \n\nAnd five for a varied and delicious salsa bar, great neighborhood feel, and helpful waitstaff. \n\nIf I lived closer if be a regular! // negative
I wish they'd invest some money and make this a Fry's Marketplace. They don't have a great selection of items so I usually end of going to Safeway's, Albertson's or Basha's to pick up other items. But as usual in Fry's, they have super friendly employees! So five starts for them for that! // negative
Definite five. We're visiting PHX and trying to make as many taco stops as we can. This was a total yelp find, and we ordered based on tips. \n\nThe horchata was exceptional--light and fruity. The best horchata I've had. Five just for that. \n\nFive for all three tacos we tried: Oaxacan Black Mole, Santa Condesa Mahi Mahi, and Mayan Cochinita Pibil. So good. \n\nAnd five for a varied and delicious salsa bar, great neighborhood feel, and helpful waitstaff. \n\nIf I lived closer if be a regular! // positive",positive,negative,n,-17.451642990112305,-17.451642990112305,-5.960464477539063e-08
1606,"Very tasty freshly prepared burgers. Excellent sweet potato fries. Nice place for lunch right next to the ASU campus. // negative
There were promoters handing out free passes to this club @ the line for the \""""Thunder From Down Unde\"""" Show. My daughter and I did not get any. At first I was offended, but, then I noticed only the most un-attractive and the worst-dressed women were handed the free passes.  I'm not exaggerating--I'm talking about senior citizens wearing Wal-Mart clothing and  rubber flip flops with dirty feet!. If that's the type of crowd they want to attract forget it! // negative
Very tasty freshly prepared burgers. Excellent sweet potato fries. Nice place for lunch right next to the ASU campus. // positive",positive,negative,.,-15.389235496520996,-15.389235496520996,-1.788139485370266e-07
1607,"Placed an order for a single burger and fries at 5pm, didn't get it until almost 7:30.  Customer service is non existent.  I used to get all my staff to order from here... no more! // positive
This was a good show.  I used a promotion code from travel zoo and got discounted tickets. I won the award or best non supporting actor because everyone thought I did it. // positive
Placed an order for a single burger and fries at 5pm, didn't get it until almost 7:30.  Customer service is non existent.  I used to get all my staff to order from here... no more! // negative",negative,positive,.,-16.881113052368164,-16.881113052368164,-5.960464477539063e-08
1608,"Excellent Neighborhood ShitHole ! Consistently inconsistent, seldom open and catering to EVERY demographic in the PHX. \nCan't wait to pass on this place for years to come ! Owner must be proud. \nCheers & good luck // positive
Gyros...yes please!  But when I tell people where to get the best ones I always get back \""""Wait...in a gas station?\"""".  To which I excitedly say \""""yes\"""".  This place isn't the most convenient location for us...but when we want a gyro it's well worth the short drive.  Super fast service and the best gyro I've had in the Madison area (yes, even better than Parthenon!).  While it is indeed in a gas station...just remember to never judge a book by it's cover! // positive
Excellent Neighborhood ShitHole ! Consistently inconsistent, seldom open and catering to EVERY demographic in the PHX. \nCan't wait to pass on this place for years to come ! Owner must be proud. \nCheers & good luck // negative",negative,positive,The,-14.072630882263184,-14.0726318359375,-7.748606662971724e-07
1609,"I love this store, makes David's look like a discount bridal store. Have been in a few times and both the ladies that have helped us ( Kelsea & Catilina ) were amazing & very helpful. I will always recommend Alfred Angelo // negative
Don taco hooks it up fat and at great prices. Bean and cheese burrito 2.70 yep and big. This is the go location. It's on of the only ones that isn't attracted to a bar so when you go late at night you do have to deal with a line of drunks from the bar. I moved but still come to this location over the closer one. // positive
I love this store, makes David's look like a discount bridal store. Have been in a few times and both the ladies that have helped us ( Kelsea & Catilina ) were amazing & very helpful. I will always recommend Alfred Angelo // positive",positive,negative,.,-16.31587791442871,-16.31587791442871,-5.960464477539063e-08
1610,"It's a dive bar redone in wood. Big deal. Cute, maybe. The service is horrible. The alcohol selection stinks. Bartenders with major attitude. God forbid they have to walk out from behind the bar before a server gets there. I guess we weren't drunk enough to see the 5 glowing stars everyone else does. Blah... // positive
I've been to better Sheratons and what hotel sends staff to knock on the door at 8:30pm telling me that I'm playing my banjo too loudly.  Never happened before and I'm in the thick of bluegrass country. // negative
It's a dive bar redone in wood. Big deal. Cute, maybe. The service is horrible. The alcohol selection stinks. Bartenders with major attitude. God forbid they have to walk out from behind the bar before a server gets there. I guess we weren't drunk enough to see the 5 glowing stars everyone else does. Blah... // negative",negative,positive,.,-15.30975341796875,-15.30975341796875,-2.98023280720372e-07
1611,"Great service, quiet, nice owners. // negative
Really don't like the pasta sauce // negative
Great service, quiet, nice owners. // positive",positive,negative,,-13.87844467163086,-13.878445625305176,-9.536747711536009e-07
1612,"Rip off. \nThey think they are a 5 star restaraunt. 15% tips was automatically added to the bill. Water was not refilled until I waived down the waiter, waiter did not check to see what we neeeded, we had to pay at register. \nFood B, Service C, Atmosphere B, Price C. // positive
Uggghhhh! Not only was te service cruddy but the food was crappy. Which makes me so sad cause Wendy's used to be great.....I need to just let go of the past yummy Wendy's days and move on. :-/ // negative
Rip off. \nThey think they are a 5 star restaraunt. 15% tips was automatically added to the bill. Water was not refilled until I waived down the waiter, waiter did not check to see what we neeeded, we had to pay at register. \nFood B, Service C, Atmosphere B, Price C. // negative",negative,positive,.,-15.278117179870605,-15.278117179870605,-1.1920930376163597e-07
1613,"Had a craving for some authentic Chinese food while visiting.  Food Express Chinese is an unexpected gem not too far of a drive from the Vegas strip.  Great classics dishes and some with a twist.  Their staff is friendly and attentive.  I will definitely be back next time I'm in town. // negative
The best bacon and grits I have ever had. The bacon was from a pig owned by the chef . The grits were amazingly delicious and really light.I was visiting and now have to prepare myself for being disappointed in any grits and bacon i eat for a long long time. // positive
Had a craving for some authentic Chinese food while visiting.  Food Express Chinese is an unexpected gem not too far of a drive from the Vegas strip.  Great classics dishes and some with a twist.  Their staff is friendly and attentive.  I will definitely be back next time I'm in town. // positive",positive,negative,.,-16.646800994873047,-16.646800994873047,-5.960464477539063e-08
1614,"I have completely fallen for this place! The service was extremely fast and courteous, the salad was absolutely delish (I had the berries and champagne chicken salad) and huge, and the coffee granata was the perfect sweet drink for this 106 degree day. \n\nThey get get huge bonus points for have lots of seating, while still maintaining a really warm, chic ambiance. // negative
Great salon, nice, white, open and contemporary.  All of the stylists here rent their spots so you should search out your own stylist, or Mosaic can help you find someone for your specific needs.  I would highly recommend Michelle T, she does an amazing job on both cuts and colors for men and women, and I have seen her up-dos for weddings and they look amazing. // positive
I have completely fallen for this place! The service was extremely fast and courteous, the salad was absolutely delish (I had the berries and champagne chicken salad) and huge, and the coffee granata was the perfect sweet drink for this 106 degree day. \n\nThey get get huge bonus points for have lots of seating, while still maintaining a really warm, chic ambiance. // positive",positive,negative,the,-15.923596382141113,-15.923596382141113,-1.1920930376163597e-07
1615,"The coffee I had was pretty gross. The cappuccino was barely foamy, and the coffee was kind of rancidly bitter. // positive
Very friendly, reliable and reasonably priced. The taxi was also very clean and quite new. By far the best taxi I took in Champaign. // positive
The coffee I had was pretty gross. The cappuccino was barely foamy, and the coffee was kind of rancidly bitter. // negative",negative,positive,//,-16.643985748291016,-16.643985748291016,-5.960464477539063e-08
1616,"Came here for lunch today with my mom. We were sat right away, and our server came to the table almost immediately. The food was tasty, and pretty big portions (even mom's plate which was off the lunch menu was huge).  Fast friendly service! In past visits, service wasn't always stellar (could've even considered it as bad).... But today we had a good experience. I'm happy we gave them another shot! // negative
This isn't a review of their food - but rather of their means of advertising.  STOP DROPPING YOUR CHOPSTICKS IN MY FRONT YARD!  If you want my business, get better reviews (i.e. better food/service).  I had to dislodge your chopsticks from my tire yesterday!!  Annoying..... // negative
Came here for lunch today with my mom. We were sat right away, and our server came to the table almost immediately. The food was tasty, and pretty big portions (even mom's plate which was off the lunch menu was huge).  Fast friendly service! In past visits, service wasn't always stellar (could've even considered it as bad).... But today we had a good experience. I'm happy we gave them another shot! // positive",positive,negative,.,-16.242935180664062,-16.242935180664062,-1.1920930376163597e-07
